epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,8926.3,1.28891,0.6895,1.16195,0.86418,0.85412,0.90809,0.58626,1.31157,0.6596,1.27139,0.0004258,0.0004258,0.0004258
60,9093.5,1.28743,0.69072,1.15967,0.86673,0.85081,0.90822,0.58555,1.31112,0.65948,1.27034,0.0004159,0.0004159,0.0004159
61,9243.11,1.29208,0.69218,1.16142,0.86836,0.8523,0.90881,0.58741,1.31136,0.65645,1.27135,0.000406,0.000406,0.000406
62,9392.6,1.28436,0.68962,1.16021,0.85984,0.8581,0.90854,0.58735,1.30985,0.65758,1.27054,0.0003961,0.0003961,0.0003961
63,9541.62,1.2854,0.69173,1.16098,0.8658,0.85364,0.90887,0.58683,1.31207,0.65668,1.27093,0.0003862,0.0003862,0.0003862
64,9690.53,1.28353,0.68827,1.16059,0.86743,0.85168,0.90858,0.58688,1.31135,0.65786,1.27071,0.0003763,0.0003763,0.0003763
65,9859.87,1.28147,0.68596,1.16133,0.86756,0.85518,0.90954,0.58916,1.30739,0.65525,1.26921,0.0003664,0.0003664,0.0003664
66,10009.4,1.27585,0.68522,1.15815,0.86802,0.85251,0.90947,0.58798,1.30658,0.65419,1.26939,0.0003565,0.0003565,0.0003565
67,10158.3,1.27587,0.6844,1.15774,0.86685,0.85599,0.90945,0.58757,1.31152,0.65366,1.27148,0.0003466,0.0003466,0.0003466
68,10307.5,1.27177,0.67963,1.15257,0.86582,0.8552,0.9099,0.58778,1.31045,0.65276,1.27131,0.0003367,0.0003367,0.0003367
69,10457.1,1.27531,0.68163,1.15268,0.86324,0.85728,0.90983,0.5883,1.30673,0.65189,1.26905,0.0003268,0.0003268,0.0003268
70,10629.5,1.26973,0.67744,1.15283,0.86682,0.85309,0.90998,0.58843,1.31072,0.65166,1.27165,0.0003169,0.0003169,0.0003169
71,10778.5,1.26928,0.67824,1.15298,0.86271,0.85765,0.9107,0.58888,1.31039,0.65225,1.27173,0.000307,0.000307,0.000307
72,10927.6,1.26451,0.67515,1.15447,0.87178,0.85047,0.91077,0.58958,1.30681,0.65219,1.2698,0.0002971,0.0002971,0.0002971
73,11076.7,1.26605,0.67645,1.15345,0.87294,0.84833,0.91029,0.58909,1.3072,0.65207,1.27001,0.0002872,0.0002872,0.0002872
74,11225.5,1.25979,0.6728,1.15161,0.86914,0.85253,0.91032,0.59033,1.30572,0.64957,1.26993,0.0002773,0.0002773,0.0002773
75,11400.1,1.26053,0.67247,1.14948,0.86566,0.85344,0.91039,0.58958,1.30824,0.64978,1.27052,0.0002674,0.0002674,0.0002674
76,11549.4,1.255,0.67296,1.14825,0.87051,0.85007,0.91026,0.58926,1.30674,0.64945,1.27014,0.0002575,0.0002575,0.0002575
77,11698.7,1.25925,0.66947,1.14839,0.8708,0.85245,0.91045,0.58947,1.30565,0.64821,1.26941,0.0002476,0.0002476,0.0002476
78,11847.7,1.25493,0.66759,1.14108,0.87094,0.85339,0.91014,0.58941,1.3055,0.64784,1.2694,0.0002377,0.0002377,0.0002377
79,11997.2,1.24771,0.66182,1.14285,0.86991,0.85236,0.90971,0.58976,1.30417,0.6474,1.26906,0.0002278,0.0002278,0.0002278
80,12171.6,1.24658,0.66139,1.14075,0.8698,0.85196,0.90978,0.58982,1.30342,0.64617,1.26937,0.0002179,0.0002179,0.0002179
81,12320.9,1.24625,0.66013,1.14307,0.87036,0.85367,0.91015,0.58945,1.30446,0.64521,1.26993,0.000208,0.000208,0.000208
82,12470.2,1.25005,0.66172,1.14568,0.87135,0.85349,0.91063,0.58934,1.30639,0.64498,1.27094,0.0001981,0.0001981,0.0001981
83,12619.2,1.24348,0.65927,1.14155,0.87288,0.85099,0.90982,0.58943,1.30621,0.64488,1.27123,0.0001882,0.0001882,0.0001882
84,12768.4,1.24062,0.65589,1.13777,0.87454,0.84975,0.91093,0.59029,1.3051,0.64482,1.27072,0.0001783,0.0001783,0.0001783
85,12942.9,1.24068,0.65999,1.13888,0.87423,0.84923,0.91069,0.59063,1.3063,0.64478,1.27138,0.0001684,0.0001684,0.0001684
86,13092.2,1.2377,0.6546,1.13845,0.8751,0.84846,0.90953,0.58982,1.30717,0.64495,1.27189,0.0001585,0.0001585,0.0001585
87,13241,1.23545,0.65317,1.13827,0.87457,0.84872,0.90967,0.58993,1.30745,0.64508,1.27204,0.0001486,0.0001486,0.0001486
88,13390.1,1.23718,0.65612,1.13884,0.87704,0.8453,0.90965,0.58987,1.30632,0.64524,1.27119,0.0001387,0.0001387,0.0001387
89,13539.6,1.22925,0.64894,1.13562,0.8775,0.84697,0.90994,0.58974,1.30652,0.64518,1.27144,0.0001288,0.0001288,0.0001288
90,13717,1.22723,0.64861,1.13441,0.87946,0.84545,0.91019,0.59011,1.3068,0.64501,1.27184,0.0001189,0.0001189,0.0001189
91,13864.7,1.22294,0.6353,1.1873,0.87981,0.84684,0.91005,0.59116,1.30396,0.64394,1.2702,0.000109,0.000109,0.000109
92,14010.1,1.21484,0.63117,1.18488,0.88051,0.84685,0.9105,0.59103,1.30247,0.64334,1.26957,9.91e-05,9.91e-05,9.91e-05
93,14155.2,1.20782,0.62536,1.18172,0.88065,0.84561,0.90998,0.59139,1.30226,0.64324,1.26994,8.92e-05,8.92e-05,8.92e-05
94,14300.2,1.20704,0.62733,1.18095,0.87931,0.84711,0.90987,0.59144,1.3024,0.64331,1.27037,7.93e-05,7.93e-05,7.93e-05
95,14476.1,1.20184,0.62753,1.18162,0.8762,0.85023,0.90975,0.5915,1.30216,0.64313,1.27063,6.94e-05,6.94e-05,6.94e-05
96,14621.7,1.20182,0.62577,1.18499,0.87644,0.85014,0.91002,0.59098,1.30269,0.64311,1.27101,5.95e-05,5.95e-05,5.95e-05
97,14766.7,1.2018,0.62422,1.1804,0.87486,0.85085,0.90964,0.59099,1.30256,0.64303,1.27105,4.96e-05,4.96e-05,4.96e-05
98,14912,1.19926,0.6217,1.18027,0.87262,0.8535,0.90971,0.5915,1.3028,0.64319,1.27139,3.97e-05,3.97e-05,3.97e-05
99,15057.1,1.19365,0.61934,1.17605,0.87281,0.85303,0.90921,0.59156,1.30297,0.6432,1.2716,2.98e-05,2.98e-05,2.98e-05
100,15239.2,1.19366,0.61907,1.17146,0.87376,0.85218,0.90922,0.59159,1.30316,0.64319,1.27182,1.99e-05,1.99e-05,1.99e-05
